,Zn,Cu,Li,Fe,Ni,NH4,SO4,NO3
4497.44979,0.0656,0.05703,0.047,0.19312,0.04806,0.00241,0.05371,0.23758
4495.52121,0.07109,0.05746,0.04161,0.18878,0.04678,0.0016,0.05363,0.23892
4493.59263,0.07051,0.06754,0.03535,0.18238,0.04798,0.00034,0.05634,0.24064
4491.66404,0.06815,0.07603,0.03267,0.1798,0.04943,0.00149,0.05875,0.24253
4489.73546,0.06886,0.06843,0.02668,0.18082,0.0549,0.00275,0.0643,0.24005
4487.80688,0.06527,0.05101,0.02067,0.18463,0.05261,0.00141,0.06135,0.23164
4485.8783,0.06635,0.04798,0.01973,0.18475,0.05188,0.00128,0.06016,0.23049
4483.94972,0.06999,0.05699,0.02491,0.18342,0.05042,0.00371,0.05932,0.23589
4482.02114,0.06709,0.06477,0.03016,0.1841,0.04776,0.00578,0.05741,0.23837
4480.09256,0.05983,0.06543,0.02783,0.18436,0.04174,0.00654,0.05182,0.23486
4478.16398,0.05546,0.0585,0.02421,0.19082,0.04079,0.00357,0.04951,0.23405
4476.2354,0.0577,0.05107,0.02355,0.19711,0.04577,0.00054,0.05354,0.23677
4474.30682,0.06062,0.052,0.0264,0.1948,0.05052,0.00186,0.05746,0.23685
4472.37824,0.06305,0.05763,0.03221,0.18845,0.05017,0.00383,0.05626,0.2353
4470.44966,0.06408,0.05903,0.03423,0.18532,0.04735,0.00547,0.05287,0.23382
4468.52108,0.06605,0.05972,0.02811,0.18407,0.04755,0.00063,0.0556,0.23536
4466.5925,0.06891,0.05729,0.01791,0.18062,0.0497,0.00795,0.06089,0.23444
4464.66392,0.06942,0.05424,0.01285,0.18148,0.05298,0.00875,0.06433,0.23439
4462.73534,0.07003,0.06154,0.01219,0.18369,0.05778,0.01056,0.06912,0.24062
4460.80676,0.0682,0.06608,0.01724,0.1898,0.05825,0.00915,0.06872,0.24643
4458.87818,0.06626,0.06376,0.02326,0.19245,0.05293,0.00569,0.06225,0.24533
4456.9496,0.06091,0.05688,0.03217,0.19421,0.04571,0.00084,0.05326,0.23861
4455.02101,0.05963,0.05431,0.03935,0.19711,0.04289,0.00199,0.05046,0.23796
4453.09243,0.06488,0.056,0.04206,0.19558,0.04505,0.00228,0.05404,0.24031
4451.16385,0.07327,0.05941,0.0426,0.18761,0.04676,0.00402,0.05612,0.24041
4449.23527,0.07359,0.0612,0.04378,0.18338,0.0436,0.00191,0.0519,0.23771
4447.30669,0.06347,0.06107,0.03918,0.18378,0.04303,0.00024,0.05024,0.23211
4445.37811,0.05402,0.06146,0.03043,0.18799,0.0468,8e-05,0.05363,0.23129
4443.44953,0.05091,0.05897,0.02799,0.19419,0.04879,4e-05,0.05568,0.23359
4441.52095,0.05213,0.05998,0.02673,0.20072,0.05194,0.00132,0.05967,0.24097
4439.59237,0.05531,0.06204,0.02463,0.20032,0.05402,0.00246,0.06217,0.24414
4437.66379,0.06097,0.06461,0.02796,0.19678,0.05229,0.00439,0.06133,0.24568
4435.73521,0.06824,0.06648,0.03407,0.19304,0.05021,0.00695,0.06045,0.24725
4433.80663,0.07325,0.06505,0.03756,0.18958,0.0515,0.00615,0.06131,0.24596
4431.87805,0.07083,0.06085,0.03954,0.18847,0.05271,0.00317,0.06144,0.2408
4429.94947,0.05762,0.05451,0.04059,0.19441,0.04671,0.00115,0.05421,0.23408
4428.02089,0.05001,0.06004,0.03411,0.19723,0.04366,0.0009,0.05243,0.23628
4426.09231,0.0474,0.06906,0.03473,0.1992,0.04856,0.00141,0.05729,0.24145
4424.16373,0.04615,0.07459,0.03977,0.19916,0.04974,0.00089,0.05763,0.24271
4422.23515,0.04702,0.07186,0.04178,0.19621,0.04564,0.0003,0.05317,0.2387
4420.30657,0.05403,0.06983,0.03969,0.19406,0.04841,0.00181,0.05664,0.24042
4418.37798,0.06155,0.06639,0.03722,0.19545,0.05146,0.00268,0.06005,0.24467
4416.4494,0.0645,0.06514,0.03708,0.19811,0.05582,0.0029,0.06503,0.24845
4414.52082,0.06792,0.06799,0.03441,0.19337,0.05784,0.00484,0.06869,0.24918
4412.59224,0.07191,0.06444,0.03241,0.19129,0.05335,0.00874,0.06551,0.24789
4410.66366,0.07569,0.05735,0.02838,0.1926,0.04928,0.01086,0.06175,0.24741
4408.73508,0.07322,0.05401,0.02485,0.19687,0.04765,0.01006,0.05916,0.24768
4406.8065,0.067,0.0563,0.02689,0.20187,0.04948,0.00682,0.05913,0.2488
4404.87792,0.06171,0.05919,0.03417,0.20472,0.04787,0.00196,0.05579,0.24868
4402.94934,0.06044,0.06043,0.03852,0.2076,0.04757,0.00145,0.0541,0.25042
4401.02076,0.06155,0.05856,0.03946,0.20411,0.04557,0.00108,0.05276,0.24719
4399.09218,0.06283,0.05533,0.0369,0.20288,0.04484,0.00041,0.05312,0.24573
4397.1636,0.06439,0.05448,0.03189,0.20056,0.04763,0.0028,0.05731,0.24528
4395.23502,0.06728,0.06063,0.0274,0.19179,0.04893,0.00795,0.06029,0.24362
4393.30644,0.06403,0.0625,0.02924,0.18659,0.04655,0.00605,0.05655,0.23755
4391.37786,0.06485,0.06126,0.02986,0.18851,0.04771,0.00686,0.05685,0.23812
4389.44928,0.06927,0.05802,0.03577,0.19277,0.04363,0.00732,0.053,0.24169
4387.5207,0.07744,0.05873,0.04388,0.19051,0.0393,0.00877,0.05027,0.24464
4385.59212,0.07758,0.0591,0.05143,0.19465,0.03503,0.00834,0.04618,0.24753
4383.66354,0.06944,0.05654,0.05175,0.20152,0.03489,0.00482,0.04506,0.24709
4381.73495,0.06544,0.05615,0.04705,0.21004,0.03952,0.00311,0.04944,0.25273
4379.80637,0.06776,0.05518,0.0441,0.21513,0.04417,0.00451,0.05441,0.25829
4377.87779,0.06863,0.05656,0.04748,0.21616,0.04189,0.00543,0.05196,0.25964
4375.94921,0.06583,0.0579,0.05164,0.21269,0.03997,0.00365,0.04957,0.25521
4374.02063,0.06986,0.0575,0.04784,0.2026,0.0397,0.00284,0.0491,0.2495
4372.09205,0.07708,0.052,0.04506,0.19424,0.04244,0.00257,0.05187,0.24413
4370.16347,0.08174,0.05017,0.0425,0.19352,0.0466,0.00494,0.05697,0.24574
4368.23489,0.07646,0.05191,0.03971,0.20063,0.04521,0.00763,0.05656,0.24992
4366.30631,0.06707,0.05742,0.04021,0.2062,0.03951,0.00993,0.0513,0.25166
4364.37773,0.06281,0.06536,0.04621,0.20427,0.03794,0.01126,0.04995,0.25089
4362.44915,0.06209,0.07155,0.04974,0.19784,0.03761,0.01029,0.0491,0.24794
4360.52057,0.06205,0.07129,0.04784,0.19823,0.03867,0.00815,0.04958,0.2486
4358.59199,0.0637,0.07125,0.04017,0.1993,0.04054,0.00977,0.05255,0.252
4356.66341,0.06194,0.07187,0.03641,0.2042,0.04295,0.01144,0.05545,0.25595
4354.73483,0.05508,0.07191,0.03842,0.20758,0.04232,0.0078,0.05377,0.25456
4352.80625,0.05238,0.07363,0.04265,0.20694,0.04194,0.00752,0.05346,0.25282
4350.87767,0.05537,0.07167,0.04358,0.20505,0.04021,0.00821,0.05194,0.2517
4348.94909,0.05908,0.06828,0.03934,0.20407,0.03903,0.01134,0.05237,0.25203
4347.02051,0.06117,0.07027,0.03832,0.20479,0.03757,0.01529,0.05266,0.25535
4345.09192,0.06455,0.07582,0.0425,0.20534,0.03554,0.01691,0.05129,0.26056
4343.16334,0.06529,0.07605,0.0464,0.20744,0.03857,0.01401,0.05336,0.26251
4341.23476,0.07083,0.07761,0.04429,0.21034,0.04405,0.01567,0.05936,0.26964
4339.30618,0.07549,0.08084,0.04464,0.20945,0.04559,0.01759,0.06145,0.27349
4337.3776,0.07633,0.08183,0.04804,0.20318,0.0422,0.01588,0.05742,0.2687
4335.44902,0.07528,0.07031,0.05354,0.20143,0.03442,0.01077,0.04761,0.25888
4333.52044,0.0774,0.05838,0.05334,0.20297,0.03447,0.00634,0.04542,0.25423
4331.59186,0.07695,0.05591,0.04716,0.20622,0.03596,0.00922,0.04755,0.2559
4329.66328,0.07476,0.05902,0.03951,0.20983,0.03627,0.01556,0.05086,0.26093
4327.7347,0.07005,0.05694,0.03721,0.21346,0.03442,0.01802,0.05003,0.26024
4325.80612,0.06992,0.05535,0.03573,0.21137,0.03189,0.0162,0.04653,0.25749
4323.87754,0.07001,0.05431,0.04097,0.20934,0.03015,0.01275,0.04344,0.2544
4321.94896,0.06879,0.06104,0.04887,0.2076,0.0259,0.01207,0.03961,0.25533
4320.02038,0.06717,0.06871,0.05174,0.20712,0.02617,0.01368,0.04093,0.25824
4318.0918,0.07358,0.07092,0.04906,0.2043,0.02965,0.01641,0.0459,0.2618
4316.16322,0.07989,0.06958,0.04766,0.20479,0.03388,0.01677,0.04997,0.2654
4314.23464,0.07658,0.07302,0.04714,0.20509,0.0358,0.0142,0.05099,0.26582
4312.30606,0.06301,0.07692,0.04446,0.20965,0.03516,0.01235,0.04965,0.26403
4310.37748,0.05573,0.07525,0.03633,0.21084,0.03221,0.01223,0.04661,0.26073
4308.44889,0.05786,0.07193,0.03341,0.20883,0.02934,0.01463,0.04424,0.2585
4306.52031,0.06175,0.07049,0.03858,0.20549,0.03031,0.01262,0.04394,0.25612
4304.59173,0.06222,0.07147,0.04672,0.20498,0.02942,0.01118,0.04235,0.25522
4302.66315,0.0657,0.07184,0.04691,0.19911,0.02953,0.01101,0.04246,0.25259
4300.73457,0.07021,0.06913,0.04392,0.2002,0.02702,0.01558,0.04158,0.25503
4298.80599,0.07776,0.06462,0.03869,0.2054,0.02845,0.01935,0.04438,0.26224
4296.87741,0.07911,0.06184,0.04292,0.21183,0.02744,0.01973,0.04331,0.26615
4294.94883,0.07782,0.06307,0.04836,0.21172,0.02465,0.01655,0.03961,0.26537
4293.02025,0.07503,0.06593,0.04996,0.20689,0.02011,0.01622,0.03579,0.26146
4291.09167,0.07427,0.07041,0.04824,0.20451,0.01834,0.01812,0.03508,0.26202
4289.16309,0.07738,0.07208,0.04656,0.2079,0.01987,0.0201,0.03714,0.26795
4287.23451,0.08289,0.06942,0.04442,0.21014,0.02275,0.02261,0.0407,0.27186
4285.30593,0.08246,0.0675,0.04005,0.20858,0.02466,0.02351,0.04299,0.26982
4283.37735,0.07614,0.06773,0.03608,0.20655,0.0252,0.02183,0.04274,0.26483
4281.44877,0.07207,0.07122,0.03562,0.20438,0.0228,0.02121,0.04016,0.26259
4279.52019,0.07014,0.07577,0.04164,0.20798,0.02151,0.02076,0.03881,0.2663
