,Zn,Cu,Li,Fe,Ni,NH4,SO4,NO3
4497.44979,0,0,0,0,0,0,0,0
4495.52121,0,0,0,0,0,0,0,0
4493.59263,0,0,0,0,0,0,0,0
4491.66404,0,0,0,0,0,0,0,0
4489.73546,0,0,0,0,0,0,0,0
4487.80688,0,0,0,0,0,1,0,0
4485.8783,0,0,0,0,0,0,0,0
4483.94972,0,0,0,0,0,0,0,0
4482.02114,0,0,0,0,0,0,0,0
4480.09256,0,0,0,0,0,0,0,0
4478.16398,0,0,0,0,0,0,0,0
4476.2354,0,0,0,0,0,0,0,0
4474.30682,0,0,0,0,0,0,0,0
4472.37824,0,0,0,0,0,0,0,0
4470.44966,0,0,0,0,0,0,0,0
4468.52108,0,0,0,0,0,0,0,0
4466.5925,0,0,0,0,0,0,0,0
4464.66392,0,0,0,0,0,0,0,0
4462.73534,0,0,0,0,0,0,1,0
4460.80676,0,0,0,0,1,0,0,0
4458.87818,0,0,0,0,0,0,0,0
4456.9496,0,0,0,0,0,0,0,0
4455.02101,0,0,0,0,0,0,0,0
4453.09243,0,0,0,0,0,0,0,0
4451.16385,0,0,0,0,0,0,0,0
4449.23527,0,0,0,0,0,0,0,0
4447.30669,0,0,0,0,0,0,0,0
4445.37811,0,0,0,0,0,0,0,0
4443.44953,0,0,0,0,0,0,0,0
4441.52095,0,0,0,0,0,0,0,0
4439.59237,0,0,0,0,0,0,0,0
4437.66379,0,0,0,0,0,0,0,0
4435.73521,0,0,0,0,0,0,0,0
4433.80663,0,0,0,0,0,0,0,0
4431.87805,0,0,0,0,0,0,0,0
4429.94947,0,0,0,0,0,0,0,0
4428.02089,0,0,0,0,0,0,0,0
4426.09231,0,0,0,0,0,0,0,0
4424.16373,0,0,0,0,0,0,0,0
4422.23515,0,0,0,0,0,0,0,0
4420.30657,0,0,0,0,0,0,0,0
4418.37798,0,0,0,0,0,0,0,0
4416.4494,0,0,0,0,0,0,0,0
4414.52082,0,0,0,0,0,0,0,0
4412.59224,0,0,0,0,0,0,0,0
4410.66366,0,0,0,0,0,0,0,0
4408.73508,0,0,0,0,0,0,0,0
4406.8065,0,0,0,0,0,0,0,0
4404.87792,0,0,0,0,0,0,0,0
4402.94934,0,0,0,0,0,0,0,0
4401.02076,0,0,0,0,0,0,0,0
4399.09218,0,0,0,0,0,0,0,0
4397.1636,0,0,0,0,0,0,0,0
4395.23502,0,0,0,0,0,0,0,0
4393.30644,0,0,0,0,0,0,0,0
4391.37786,0,0,0,0,0,0,0,0
4389.44928,0,0,0,0,0,0,0,0
4387.5207,0,0,0,0,0,0,0,0
4385.59212,0,0,0,0,0,0,0,0
4383.66354,0,0,0,0,0,0,0,0
4381.73495,0,0,0,0,0,0,0,0
4379.80637,0,0,0,0,0,0,0,0
4377.87779,0,0,0,0,0,0,0,0
4375.94921,0,0,0,0,0,0,0,0
4374.02063,0,0,0,0,0,0,0,0
4372.09205,0,0,0,0,0,0,0,0
4370.16347,0,0,0,0,0,0,0,0
4368.23489,0,0,0,0,0,0,0,0
4366.30631,0,0,0,0,0,0,0,0
4364.37773,0,0,0,0,0,0,0,0
4362.44915,0,0,0,0,0,0,0,0
4360.52057,0,0,0,0,0,0,0,0
4358.59199,0,0,0,0,0,0,0,0
4356.66341,0,0,0,0,0,0,0,0
4354.73483,0,0,0,0,0,0,0,0
4352.80625,0,0,0,0,0,0,0,0
4350.87767,0,0,0,0,0,0,0,0
4348.94909,0,0,0,0,0,0,0,0
4347.02051,0,0,0,0,0,0,0,0
4345.09192,0,0,0,0,0,0,0,0
4343.16334,0,0,0,0,0,0,0,0
4341.23476,0,0,0,0,0,0,0,0
4339.30618,0,0,0,0,0,0,0,0
4337.3776,0,0,0,0,0,0,0,0
4335.44902,0,0,0,0,0,0,0,0
4333.52044,0,0,0,0,0,0,0,0
4331.59186,0,0,0,0,0,0,0,0
